# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.0755          	smoothSolver	1.55108360e-02	7.69490680e-04	2	1.72987830e-02	8.65542740e-04	2	false	GAMG	1.65527800e-01	1.30043020e-02	1	true
0.076           	smoothSolver	1.53680260e-02	7.65976200e-04	2	1.71704830e-02	8.64426400e-04	2	false	GAMG	7.40940830e-02	6.10887840e-03	1	true
0.0765          	smoothSolver	1.52644480e-02	7.61279110e-04	2	1.70944210e-02	8.58347410e-04	2	false	GAMG	4.89920930e-02	4.11964270e-03	1	true
0.077           	smoothSolver	1.51702710e-02	7.65485310e-04	2	1.70107060e-02	8.49584470e-04	2	false	GAMG	3.77636530e-02	3.26143280e-03	1	true
0.0775          	smoothSolver	1.50825710e-02	7.62188950e-04	2	1.68624650e-02	8.37350860e-04	2	false	GAMG	3.49552140e-02	2.87096820e-03	1	true
0.078           	smoothSolver	1.49769810e-02	7.60152350e-04	2	1.67508430e-02	8.31550830e-04	2	false	GAMG	2.50078010e-02	2.18060760e-03	1	true
0.0785          	smoothSolver	1.49835550e-02	7.62761980e-04	2	1.67028050e-02	8.38966310e-04	2	false	GAMG	1.34183140e-02	1.02060480e-03	1	true
0.079           	smoothSolver	1.49045830e-02	7.60365580e-04	2	1.66562940e-02	8.34813760e-04	2	false	GAMG	1.37209090e-02	1.15715860e-03	1	true
0.0795          	smoothSolver	1.48135130e-02	7.57082510e-04	2	1.65724920e-02	8.42604340e-04	2	false	GAMG	9.22204590e-03	7.49561760e-04	1	true
0.08            	smoothSolver	1.46995060e-02	7.39819430e-04	2	1.64970280e-02	8.33454650e-04	2	false	GAMG	8.90904600e-03	7.72491230e-04	1	true
0.0805          	smoothSolver	1.46502190e-02	7.36457890e-04	2	1.64774550e-02	8.43266530e-04	2	false	GAMG	1.06923890e-02	9.33562190e-04	1	true
0.081           	smoothSolver	1.45587500e-02	7.22786190e-04	2	1.64330050e-02	8.31501420e-04	2	false	GAMG	9.55942460e-03	7.88144650e-04	1	true
